"pais","anio","inflacion","gdp","desempleo"
"Gabon",2022,4.23124798274575,3.03761449525692,20.399
"United Kingdom",2011,3.85611244682819,1.13836239840663,8.169
"United Kingdom",2016,1.00841736811403,1.92171009934007,4.867
"United Kingdom",2022,7.92204883147907,4.83908517877134,3.73
"Georgia",2011,8.5429333333333,7.9343365253078,19.632
"Georgia",2016,2.13492713939121,3.45021517996871,16.604
"Georgia",2022,11.8981654203198,10.9585321385624,11.647
"Ghana",2016,17.4546347070868,3.37346574966936,5.232
"Gibraltar",2011,8.08238798099103,3.89168030784676,10.948
"Gibraltar",2016,4.02790667392041,3.89168030784676,0.716
"Gibraltar",2022,5.27616724262842,3.89168030784676,3.761
"Guinea",2016,8.17268112275132,10.82062719659,5.013
"Guinea",2022,10.4930409984424,3.97240784200721,5.267
"Gambia, The",2016,7.22879272057924,1.94335965478776,6.285
"Gambia, The",2022,11.5131198380505,5.49299825508946,6.076
"Guinea-Bissau",2011,5.04610226320201,8.08504167173554,3.08
"Guinea-Bissau",2016,1.50312055861089,5.4326782650304,3.123
"Guinea-Bissau",2022,9.39075933985203,5.58513728011474,2.666
"Equatorial Guinea",2011,4.80538922155698,6.52392362989873,8.045
"Equatorial Guinea",2022,4.78671704710806,3.22350831658598,8.455
"Greece",2022,9.64525981280638,5.74364902526337,12.426
"Grenada",2011,3.03347280334741,0.764773550338731,2.647
"Grenada",2016,1.65038994431567,3.7396039558691,9.228
"Grenada",2022,2.58053925907924,7.32074061551874,1.292
"Greenland",2011,3.21988689395717,-0.496519391959083,2.647
"Greenland",2016,7.04244762954794,4.68195410972302,12.9
"Greenland",2022,14.0224913014704,2.00455580865604,2.554
"Guatemala",2011,6.21412393067093,4.16390688293349,3.172
"Guatemala",2016,4.44844199942828,2.67780273264368,2.583
"Guatemala",2022,6.88512823344283,4.18451808712605,3.051
"Guam",2011,7.24542548952977,0.0776548243059523,13.3
"Guam",2016,-0.664767331433944,0.18198362147406,5.4
"Guam",2022,0.891591752655315,5.09986426216793,5.454
"Guyana",2011,4.97773563706968,5.19625156051602,11.819
"Guyana",2016,0.836008061506277,3.80745626378814,13.257
"Hong Kong SAR, China",2011,5.30524892993918,4.81468100120659,3.422
"Hong Kong SAR, China",2016,2.40930743862221,2.17543692765861,3.392
"Hong Kong SAR, China",2022,1.88136707196852,-3.68375141698573,4.318
"Honduras",2011,6.76227957314763,3.83569066207505,4.474
"Honduras",2016,2.72461223295284,3.89297219726413,6.727
"Honduras",2022,9.08963911525025,4.14356194013767,8.774
"Croatia",2011,2.27272727272725,-0.0977514527446601,13.678
"Croatia",2016,-1.125,3.46112947356767,13.103
"Croatia",2022,10.7805806758686,7.28793643206565,6.96
"Haiti",2011,6.33279483849045,5.09821354410036,14.485
"Haiti",2016,11.5029073942666,1.81246807847532,13.852
"Hungary",2011,3.92992098935068,1.91670916599742,11.029
"Hungary",2016,0.39476930668638,2.43864141309342,5.115
"Hungary",2022,14.6081439492433,4.27034755162904,3.609
"Indonesia",2011,5.35604849112584,6.16978420771008,5.153
"Indonesia",2016,3.52580452815451,5.03306918280177,4.301
"Indonesia",2022,4.20946463714783,5.30719722664799,3.462
"Isle of Man",2011,0.2908333333333,1.99999938207415,7.284
"Isle of Man",2016,8.08238798099103,6.95230284899407,2.583
